#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
85,S. Korea,"77,395",+469,"1,399",+13,"66,503",+487,"9,493",239,"1,509",27,"5,569,264","108,574","51,294,760",Asia,663,"36,665",9
86,Albania,"75,454",,"1,350",,"45,906",,"28,198",21,"26,236",469,"343,325","119,377","2,875,974",Europe,38,"2,130",8
87,Latvia,"63,992",,"1,148",,"52,062",,"10,782",104,"34,147",613,"1,146,993","612,045","1,874,033",Europe,29,"1,632",2
88,Ghana,"63,883",,390,,"59,553",,"3,940",35,"2,032",12,"757,560","24,092","31,444,239",Africa,492,"80,626",42
89,Norway,"62,276",,557,,"53,299",,"8,420",21,"11,436",102,"3,357,400","616,522","5,445,712",Europe,87,"9,777",2
90,Sri Lanka,"61,586",,297,,"54,435",,"6,854",,"2,869",14,"1,659,725","77,322","21,465,191",Asia,349,"72,273",13
91,Montenegro,"60,288",,790,,"51,954",,"7,544",68,"95,983","1,258","225,133","358,428","628,112",Europe,10,795,3
92,Singapore,"59,449",+24,29,,"59,148",,272,,"10,116",5,"6,315,357","1,074,606","5,876,902",Asia,99,"202,652",1
93,Afghanistan,"54,939",,"2,399",,"47,583",,"4,957",916,"1,393",61,"246,568","6,253","39,429,660",Asia,718,"16,436",160
94,El Salvador,"53,989",,"1,599",,"47,643",,"4,747",99,"8,299",246,"687,303","105,656","6,505,129",North America,120,"4,068",9
95,Zambia,"50,319",,705,,"42,771",,"6,843",492,"2,694",38,"881,095","47,175","18,677,256",Africa,371,"26,493",21
96,Luxembourg,"50,228",,574,,"47,506",,"2,148",14,"79,497",908,"1,871,780","2,962,493","631,826",Europe,13,"1,101",0
97,Finland,"44,039",,664,,"31,000",,"12,375",22,"7,941",120,"2,782,328","501,708","5,545,707",Europe,126,"8,352",2
98,Estonia,"42,656",,406,,"32,398",,"9,852",45,"32,143",306,"760,266","572,898","1,327,052",Europe,31,"3,269",2
99,Uruguay,"39,887",,415,,"32,306",,"7,166",90,"11,459",119,"828,179","237,935","3,480,698",South America,87,"8,387",4
100,Uganda,"39,424",,318,,"14,114",,"24,992",,847,7,"824,471","17,707","46,561,884",Africa,"1,181","146,421",56
101,Mozambique,"35,833",,347,,"22,750",,"12,736",,"1,128",11,"334,351","10,529","31,754,277",Africa,886,"91,511",95
102,Namibia,"33,459",,332,,"31,409",,"1,718",21,"13,033",129,"261,295","101,778","2,567,295",Africa,77,"7,733",10
103,Zimbabwe,"32,646",,"1,160",,"24,419",,"7,067",74,"2,178",77,"277,248","18,499","14,987,298",Africa,459,"12,920",54
104,Cyprus,"30,538",,197,,"2,057",,"28,284",51,"25,187",162,"1,011,231","834,050","1,212,434",Asia,40,"6,154",1
