#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
118,Somalia,"3,265",,93,,"2,396",,776,,205,6,,,"15,951,255",Africa,"4,886","171,519",
119,Mayotte,"3,237",,39,,"2,964",,234,1,"11,827",142,"13,000","47,499","273,689",Africa,85,"7,018",21
120,Mozambique,"3,195",,20,,"1,406",,"1,769",,102,0.6,"83,886","2,674","31,369,989",Africa,"9,818","1,568,499",374
121,Sri Lanka,"2,941",,11,,"2,798",+9,132,1,137,0.5,"195,025","9,102","21,426,033",Asia,"7,285","1,947,821",110
122,Rwanda,"2,780",,11,,"1,712",,"1,057",,214,0.8,"357,083","27,479","12,994,745",Africa,"4,674","1,181,340",36
123,Mali,"2,688",,125,,"2,007",,556,,132,6,"33,696","1,658","20,326,904",Africa,"7,562","162,615",603
124,Slovenia,"2,617",+43,131,+1,"2,079",,407,3,"1,259",63,"147,091","70,752","2,078,979",Europe,794,"15,870",14
125,Tunisia,"2,607",,64,,"1,420",,"1,123",8,220,5,"119,193","10,070","11,835,866",Africa,"4,540","184,935",99
126,Lithuania,"2,594",+30,84,+1,"1,766",+11,744,6,955,31,"604,689","222,592","2,716,576",Europe,"1,047","32,340",4
127,South Sudan,"2,497",,47,,"1,290",,"1,160",,223,4,"12,044","1,074","11,211,949",Africa,"4,490","238,552",931
128,Gambia,"2,437",,84,,455,,"1,898",,"1,005",35,"10,781","4,445","2,425,547",Africa,995,"28,876",225
129,Estonia,"2,265",+21,63,,"2,024",+13,178,,"1,707",47,"140,206","105,683","1,326,663",Europe,586,"21,058",9
130,Guinea-Bissau,"2,149",,33,,"1,015",,"1,101",5,"1,089",17,"1,500",760,"1,974,189",Africa,919,"59,824","1,316"
131,Benin,"2,095",,39,,"1,705",,351,,172,3,"107,057","8,800","12,165,034",Africa,"5,807","311,924",114
132,Syria,"2,073",,83,,475,,"1,515",,118,5,,,"17,557,074",Asia,"8,469","211,531",
133,Angola,"2,068",,94,,804,,"1,170",24,63,3,"64,747","1,962","32,998,397",Africa,"15,957","351,047",510
134,Iceland,"2,050",,10,,"1,920",,120,,"6,002",29,"194,963","570,808","341,556",Europe,167,"34,156",2
135,Sierra Leone,"1,972",,69,,"1,542",,361,,247,9,,,"7,998,830",Africa,"4,056","115,925",
136,Yemen,"1,906",,542,,"1,058",,306,,64,18,120,4,"29,913,881",Asia,"15,695","55,192","249,282"
137,Uganda,"1,848",,19,,"1,199",,630,,40,0.4,"340,844","7,421","45,927,340",Africa,"24,852","2,417,228",135
138,Bahamas,"1,703",,27,,221,,"1,455",61,"4,325",69,"8,778","22,292","393,770",North America,231,"14,584",45
139,New Zealand,"1,671",+6,22,,"1,538",,111,9,334,4,"685,476","137,038","5,002,100",Australia/Oceania,"2,993","227,368",7
140,Malta,"1,546",,10,,854,,682,,"3,500",23,"168,793","382,134","441,711",Europe,286,"44,171",3
141,Jordan,"1,532",,11,,"1,262",,259,3,150,1,"728,339","71,285","10,217,286",Asia,"6,669","928,844",14
142,Uruguay,"1,516",,42,,"1,249",,225,2,436,12,"156,623","45,066","3,475,448",South America,"2,293","82,749",22
143,Aruba,"1,464",,6,,415,,"1,043",2,"13,704",56,"18,045","168,912","106,831",North America,73,"17,805",6
144,Cyprus,"1,406",,20,,878,,508,5,"1,163",17,"263,943","218,388","1,208,598",Asia,860,"60,430",5
145,Georgia,"1,394",+9,17,,"1,132",+4,245,,350,4,"327,436","82,104","3,988,055",Asia,"2,861","234,591",12
146,Jamaica,"1,346",+56,16,+1,788,,542,4,454,5,"51,765","17,470","2,963,006",North America,"2,201","185,188",57
147,Latvia,"1,333",+3,33,,"1,093",,207,,708,18,"236,297","125,484","1,883,087",Europe,"1,413","57,063",8
148,Botswana,"1,308",,3,,136,,"1,169",1,555,1,"93,420","39,618","2,358,025",Africa,"1,803","786,008",25
149,Burkina Faso,"1,297",,55,,"1,034",,208,,62,3,,,"20,978,430",Africa,"16,175","381,426",
150,Liberia,"1,285",,82,,803,,400,,253,16,,,"5,073,503",Africa,"3,948","61,872",
151,Togo,"1,239",,27,,891,,321,2,149,3,"56,427","6,795","8,304,555",Africa,"6,703","307,576",147
152,Niger,"1,172",,69,,"1,083",,20,,48,3,"9,052",372,"24,317,564",Africa,"20,749","352,428","2,686"
153,Réunion,"1,075",,5,,692,,378,3,"1,199",6,"35,419","39,521","896,213",Africa,834,"179,243",25
154,Andorra,"1,045",,53,,875,,117,1,"13,522",686,"137,457","1,778,619","77,283",Europe,74,"1,458",1
155,Lesotho,"1,015",,30,,472,,513,,473,14,"13,330","6,216","2,144,638",Africa,"2,113","71,488",161
156,Vietnam,"1,014",+5,25,,545,,444,,10,0.3,"817,208","8,385","97,461,327",Asia,"96,116","3,898,453",119
157,Chad,981,,76,,869,,36,,60,5,,,"16,487,361",Africa,"16,807","216,939",
158,Sao Tome and Principe,891,,15,,830,,46,,"4,055",68,"3,443","15,671","219,711",Africa,247,"14,647",64
159,Guyana,881,,30,,433,,418,8,"1,119",38,"6,502","8,261","787,091",South America,893,"26,236",121
160,Trinidad and Tobago,864,,12,,162,,690,3,617,9,"18,632","13,307","1,400,135",North America,"1,621","116,678",75
161,Guadeloupe,771,,15,,289,,467,2,"1,927",37,"26,290","65,703","400,134",North America,519,"26,676",15
162,Diamond Princess,712,,13,,651,,48,4,,,,,,,,,
163,San Marino,704,,42,,657,,5,,"20,742","1,237","6,511","191,833","33,941",Europe,48,808,5
164,Belize,648,,5,,43,,600,3,"1,626",13,"6,128","15,373","398,608",North America,615,"79,722",65
165,Channel Islands,614,,48,,545,,21,,"3,527",276,"68,985","396,267","174,087",Europe,284,"3,627",3
166,Tanzania,509,,21,,183,,305,7,8,0.4,,,"59,956,393",Africa,"117,793","2,855,066",
167,Taiwan,487,,7,,457,,23,,20,0.3,"85,779","3,601","23,822,960",Asia,"48,918","3,403,280",278
168,Myanmar,435,+16,6,,337,,92,,8,0.1,"142,516","2,617","54,461,313",Asia,"125,198","9,076,886",382
